Num of flow,Sum Flow Duration,Max Flow Duration,Sum Tot Fwd Pkts,Max Tot Fwd Pkts,Sum Tot Bwd Pkts,Max Tot Bwd Pkts,Sum TotLen Fwd Pkts,Max TotLen Fwd Pkts,Sum TotLen Bwd Pkts,Max TotLen Bwd Pkts,Sum Fwd IAT Tot,Max Fwd IAT Tot,Sum Bwd IAT Tot,Max Bwd IAT Tot,Sum Fwd PSH Flags,Max Fwd PSH Flags,Sum Bwd PSH Flags,Max Bwd PSH Flags,Sum Fwd URG Flags,Max Fwd URG Flags,Sum Bwd URG Flags,Max Bwd URG Flags,Sum Fwd Header Len,Max Fwd Header Len,Sum Bwd Header Len,Max Bwd Header Len,Sum FIN Flag Cnt,Max FIN Flag Cnt,Sum SYN Flag Cnt,Max SYN Flag Cnt,Sum RST Flag Cnt,Max RST Flag Cnt,Sum PSH Flag Cnt,Max PSH Flag Cnt,Sum ACK Flag Cnt,Max ACK Flag Cnt,Sum URG Flag Cnt,Max URG Flag Cnt,Sum CWE Flag Count,Max CWE Flag Count,Sum ECE Flag Cnt,Max ECE Flag Cnt,Sum Init Fwd Win Byts,Max Init Fwd Win Byts,Sum Init Bwd Win Byts,Max Init Bwd Win Byts,Sum Fwd Act Data Pkts,Max Fwd Act Data Pkts,Label
2798,28020459949,80800196,10473,770,477,19,19099.0,770.0,32926.0,275.0,27930872394.0,80800196.0,159527256.0,53878085.0,0,0,0,0,0,0,0,0,380084,6160,4984,616,1,1,9257,6,44,1,22,17,96,37,0,0,0,0,0,0,35076940,36909,9639,8224,782,769,0
115,148519959,53125378,136,16,129,16,3257.0,87.0,4163.0,275.0,138071997.0,52397877.0,79644156.0,53123706.0,0,0,0,0,0,0,0,0,2792,520,1928,520,1,1,44,2,42,1,14,14,73,31,0,0,0,0,0,0,627800,14600,509,509,4,1,0
60,52246512,52126436,75,16,75,16,2660.0,46.0,3497.0,275.0,48126473.0,48126473.0,52124117.0,52124117.0,0,0,0,0,0,0,0,0,1016,520,1016,520,2,1,2,2,0,0,14,14,33,31,0,0,0,0,0,0,18250,14600,1018,509,1,1,0
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,317758903,75162220,2519,1470,199,26,415009.0,407552.0,4560.0,161.0,220016841.0,75162220.0,50445636.0,43824722.0,1,1,0,0,0,0,0,0,10728,6368,3076,524,5,1,81,5,63,3,45,31,162,57,0,0,0,0,0,0,1854524,34038,81551,65535,821,795,0
156,151956989,51133796,1730,990,147,17,393029.0,386612.0,5567.0,275.0,147640765.0,47136429.0,51132288.0,51132288.0,0,0,0,0,0,0,0,0,13152,7920,1724,552,42,2,59,6,51,2,15,15,46,33,0,0,0,0,0,0,917270,36191,509,509,1263,989,0
1489,3447973208,91029140,5697,1276,172,18,58699.0,26025.0,6487.0,275.0,3443535716.0,91029140.0,50094608.0,50094608.0,0,0,0,0,0,0,0,0,160528,10208,2020,584,2,1,3580,6,17,1,16,16,54,35,0,0,0,0,0,0,19669850,14600,508,508,1958,1275,0
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,52153798,52089446,80,16,80,16,2766.0,60.0,3384.0,275.0,48089527.0,48089527.0,52087924.0,52087924.0,0,0,0,0,0,0,0,0,1120,520,1080,520,2,1,4,2,2,1,14,14,35,31,0,0,0,0,0,0,47450,14600,1018,509,1,1,0
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,14708323162,70179990,7599,2002,222,16,43315.0,33150.0,17698.0,432.0,14609995681.0,70179990.0,57168921.0,52077586.0,6,1,0,0,0,0,0,0,216920,16016,2652,520,21,2,4870,6,33,2,31,14,77,31,0,0,0,0,0,0,14774612,29102,50499,32120,2515,2001,0
2807,27817936829,91260343,10622,913,453,19,18494.0,913.0,33477.0,275.0,27741618861.0,90590630.0,159068877.0,91250904.0,0,0,0,0,0,0,0,0,381060,7304,4696,616,10,2,9272,6,40,1,20,17,95,37,0,0,0,0,0,0,35451158,24461,103921,65535,926,912,0
28839,1802015558775,119856115,57320,272,57020,16,25914.0,20400.0,6539.0,275.0,1802005909832.0,119856115.0,1800914239730.0,95416510.0,0,0,0,0,0,0,0,0,2279608,2176,1139156,520,2,1,56898,2,56883,2,14,14,56917,31,0,0,0,0,0,0,419199359,14600,15109,14600,272,271,0
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,70831974,52276975,452,361,67,16,26527.0,23465.0,3197.0,275.0,62032042.0,48278419.0,52274788.0,52274788.0,0,0,0,0,0,0,0,0,4032,2888,952,520,2,1,2,2,0,0,14,14,33,31,0,0,0,0,0,0,18250,14600,1018,509,373,360,0
